Lead ID,Location,College,Year of Study,Program Interest,Lead Source,Converted
LD105,Mumbai,ABC Institute,3rd,Electric Vehicle,Instagram,1
LD106,Ahmedabad,LMN College,1st,Robotics,Google Form,0
LD107,Ahmedabad,XYZ University,4th,AI,Google Form,0
LD108,Delhi,XYZ University,2nd,Robotics,Whatsapp,1
LD109,Bangalore,PQR University,4th,Robotics,College Collaboration,0
LD110,Ahmedabad,LMN College,1st,Electric Vehicle,Whatsapp,0
LD111,Delhi,ABC Institute,2nd,AI,Google Form,0
LD112,Surat,LMN College,3rd,Robotics,LinkedIn,0
LD113,Mumbai,LMN College,4th,AI,College Collaboration,1
LD114,Ahmedabad,XYZ University,4th,Data Science,Mass-Mailing,1
LD115,Mumbai,PQR University,2nd,Robotics,Instagram,0
LD116,Bangalore,PQR University,3rd,Data Science,LinkedIn,1
LD117,Delhi,PQR University,4th,Robotics,Google Form,1
LD118,Ahmedabad,LMN College,3rd,Robotics,College Collaboration,0
LD119,Delhi,LMN College,2nd,Electric Vehicle,Whatsapp,1
LD120,Delhi,XYZ University,4th,Electric Vehicle,Mass-Mailing,0
LD121,Bangalore,LMN College,1st,AI,LinkedIn,1
LD122,Delhi,ABC Institute,3rd,AI,LinkedIn,1
LD123,Surat,LMN College,2nd,AI,Mass-Mailing,0
LD124,Delhi,PQR University,4th,Electric Vehicle,Instagram,0
LD125,Delhi,XYZ University,3rd,AI,Instagram,0
LD126,Surat,PQR University,2nd,Data Science,Google Form,0
LD127,Ahmedabad,LMN College,3rd,Robotics,College Collaboration,1
LD128,Surat,ABC Institute,2nd,Robotics,Mass-Mailing,1
LD129,Delhi,ABC Institute,3rd,Data Science,College Collaboration,0
LD130,Delhi,LMN College,1st,Data Science,Google Form,0
LD131,Ahmedabad,LMN College,2nd,AI,LinkedIn,0
LD132,Delhi,PQR University,4th,Robotics,Mass-Mailing,0
LD133,Surat,ABC Institute,3rd,Data Science,Mass-Mailing,0
LD134,Delhi,PQR University,3rd,Electric Vehicle,LinkedIn,0
LD135,Mumbai,PQR University,3rd,AI,LinkedIn,1
LD136,Delhi,ABC Institute,4th,AI,Google Form,0
LD137,Surat,LMN College,4th,Robotics,Instagram,0
LD138,Bangalore,ABC Institute,4th,AI,Mass-Mailing,1
LD139,Surat,LMN College,2nd,Electric Vehicle,Whatsapp,0
LD140,Delhi,ABC Institute,4th,Data Science,LinkedIn,1
LD141,Surat,ABC Institute,4th,Robotics,Mass-Mailing,1
LD142,Bangalore,LMN College,4th,Robotics,College Collaboration,0
LD143,Bangalore,LMN College,2nd,Data Science,Whatsapp,0
LD144,Ahmedabad,PQR University,3rd,Robotics,Instagram,0
LD145,Delhi,ABC Institute,3rd,AI,Google Form,0
LD146,Surat,XYZ University,3rd,Electric Vehicle,Google Form,0
LD147,Ahmedabad,XYZ University,1st,Data Science,Instagram,0
LD148,Surat,XYZ University,1st,Data Science,College Collaboration,0
LD149,Surat,PQR University,1st,Electric Vehicle,LinkedIn,0
LD150,Mumbai,ABC Institute,2nd,Data Science,Instagram,0
LD151,Mumbai,PQR University,1st,AI,Mass-Mailing,1
LD152,Ahmedabad,LMN College,2nd,AI,College Collaboration,0
LD153,Ahmedabad,ABC Institute,4th,Data Science,College Collaboration,0
LD154,Bangalore,PQR University,2nd,Electric Vehicle,College Collaboration,0
LD155,Mumbai,ABC Institute,4th,AI,Whatsapp,1
LD156,Mumbai,PQR University,1st,AI,Mass-Mailing,0
LD157,Surat,ABC Institute,1st,Data Science,LinkedIn,0
LD158,Bangalore,XYZ University,2nd,AI,College Collaboration,1
LD159,Surat,PQR University,3rd,AI,College Collaboration,0
LD160,Delhi,PQR University,2nd,AI,Google Form,1
LD161,Ahmedabad,LMN College,1st,AI,Mass-Mailing,0
LD162,Mumbai,PQR University,4th,AI,LinkedIn,0
LD163,Bangalore,XYZ University,2nd,Robotics,Whatsapp,0
LD164,Surat,ABC Institute,3rd,Electric Vehicle,Google Form,0
LD165,Ahmedabad,LMN College,2nd,Data Science,Instagram,0
LD166,Mumbai,LMN College,2nd,Robotics,LinkedIn,1
LD167,Mumbai,ABC Institute,4th,Electric Vehicle,LinkedIn,0
LD168,Bangalore,PQR University,1st,Electric Vehicle,Instagram,0
LD169,Bangalore,LMN College,3rd,Electric Vehicle,Mass-Mailing,0
LD170,Delhi,PQR University,3rd,Electric Vehicle,Instagram,0
LD171,Surat,ABC Institute,3rd,AI,LinkedIn,0
LD172,Surat,LMN College,3rd,Electric Vehicle,LinkedIn,0
LD173,Mumbai,XYZ University,4th,Electric Vehicle,LinkedIn,0
LD174,Delhi,XYZ University,2nd,Robotics,Whatsapp,0
LD175,Ahmedabad,XYZ University,2nd,Data Science,Mass-Mailing,0
LD176,Bangalore,XYZ University,3rd,Robotics,College Collaboration,0
LD177,Surat,ABC Institute,1st,AI,LinkedIn,0
LD178,Delhi,ABC Institute,1st,Robotics,Whatsapp,0
LD179,Ahmedabad,LMN College,4th,Robotics,Google Form,1
LD180,Surat,PQR University,2nd,AI,Whatsapp,0
LD181,Ahmedabad,LMN College,3rd,Data Science,Whatsapp,0
LD182,Surat,PQR University,4th,Robotics,LinkedIn,0
LD183,Surat,ABC Institute,1st,Data Science,Mass-Mailing,1
LD184,Surat,LMN College,2nd,Electric Vehicle,College Collaboration,1
LD185,Mumbai,XYZ University,1st,AI,Mass-Mailing,0
LD186,Surat,XYZ University,3rd,Robotics,Google Form,0
LD187,Delhi,LMN College,4th,Robotics,Mass-Mailing,1
LD188,Bangalore,XYZ University,2nd,AI,Whatsapp,0
LD189,Ahmedabad,PQR University,1st,Data Science,Mass-Mailing,0
LD190,Delhi,PQR University,4th,Robotics,College Collaboration,0
LD191,Bangalore,LMN College,4th,Electric Vehicle,Mass-Mailing,0
LD192,Mumbai,ABC Institute,3rd,Robotics,Mass-Mailing,1
LD193,Delhi,ABC Institute,1st,Electric Vehicle,Mass-Mailing,1
LD194,Surat,PQR University,1st,Data Science,Mass-Mailing,0
LD195,Delhi,PQR University,3rd,AI,Mass-Mailing,0
LD196,Bangalore,LMN College,3rd,Data Science,Whatsapp,0
LD197,Mumbai,PQR University,3rd,Robotics,LinkedIn,1
LD198,Ahmedabad,PQR University,1st,AI,Whatsapp,1
LD199,Bangalore,XYZ University,4th,AI,College Collaboration,1
LD200,Ahmedabad,ABC Institute,1st,Data Science,Google Form,1
LD201,Surat,XYZ University,4th,Robotics,Whatsapp,0
LD202,Ahmedabad,ABC Institute,2nd,Data Science,Mass-Mailing,0
LD203,Surat,ABC Institute,3rd,Robotics,Mass-Mailing,0
LD204,Ahmedabad,XYZ University,2nd,Robotics,Google Form,1
LD205,Surat,LMN College,2nd,Robotics,Instagram,0
LD206,Ahmedabad,XYZ University,3rd,Electric Vehicle,Whatsapp,0
LD207,Surat,ABC Institute,2nd,AI,Mass-Mailing,0
LD208,Bangalore,LMN College,1st,Data Science,Mass-Mailing,0
LD209,Bangalore,LMN College,2nd,Robotics,Google Form,0
LD210,Bangalore,XYZ University,1st,AI,College Collaboration,0
LD211,Bangalore,XYZ University,2nd,Electric Vehicle,Mass-Mailing,0
LD212,Ahmedabad,ABC Institute,4th,AI,Instagram,0
LD213,Delhi,PQR University,2nd,Electric Vehicle,Instagram,0
LD214,Bangalore,LMN College,1st,Data Science,Google Form,0
LD215,Ahmedabad,ABC Institute,1st,Robotics,LinkedIn,1
LD216,Ahmedabad,ABC Institute,3rd,Robotics,Whatsapp,0
LD217,Delhi,XYZ University,3rd,Robotics,Instagram,0
LD218,Bangalore,PQR University,4th,Data Science,LinkedIn,1
LD219,Surat,LMN College,1st,Data Science,Mass-Mailing,0
LD220,Ahmedabad,LMN College,2nd,Data Science,Google Form,1
LD221,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Google Form,0
LD222,Surat,XYZ University,2nd,Robotics,LinkedIn,0
LD223,Ahmedabad,PQR University,2nd,Robotics,Google Form,0
LD224,Surat,ABC Institute,2nd,Electric Vehicle,Google Form,0
LD225,Delhi,XYZ University,1st,Electric Vehicle,Mass-Mailing,0
LD226,Mumbai,ABC Institute,2nd,AI,Instagram,0
LD227,Delhi,LMN College,4th,AI,Google Form,1
LD228,Delhi,LMN College,1st,Data Science,Mass-Mailing,0
LD229,Bangalore,XYZ University,3rd,Robotics,College Collaboration,1
LD230,Delhi,PQR University,1st,AI,Google Form,0
LD231,Ahmedabad,LMN College,1st,Data Science,Mass-Mailing,1
LD232,Surat,XYZ University,2nd,AI,Google Form,0
LD233,Surat,PQR University,2nd,AI,LinkedIn,0
LD234,Ahmedabad,PQR University,4th,AI,Instagram,0
LD235,Delhi,PQR University,2nd,AI,Whatsapp,0
LD236,Mumbai,XYZ University,2nd,AI,Instagram,1
LD237,Delhi,XYZ University,3rd,Data Science,LinkedIn,0
LD238,Ahmedabad,PQR University,3rd,Data Science,Instagram,0
LD239,Mumbai,ABC Institute,4th,Electric Vehicle,Mass-Mailing,0
LD240,Ahmedabad,PQR University,1st,AI,Google Form,0
LD241,Mumbai,LMN College,4th,Robotics,Mass-Mailing,1
LD242,Mumbai,ABC Institute,3rd,Robotics,Instagram,1
LD243,Surat,PQR University,4th,Electric Vehicle,Mass-Mailing,1
LD244,Delhi,PQR University,4th,Robotics,Instagram,0
LD245,Mumbai,PQR University,2nd,Robotics,Mass-Mailing,0
LD246,Surat,LMN College,1st,Robotics,Mass-Mailing,1
LD247,Delhi,ABC Institute,1st,Robotics,Google Form,0
LD248,Ahmedabad,XYZ University,4th,AI,College Collaboration,1
LD249,Delhi,LMN College,3rd,Data Science,Mass-Mailing,1
LD250,Mumbai,LMN College,2nd,AI,LinkedIn,1
LD251,Bangalore,ABC Institute,1st,Electric Vehicle,Instagram,0
LD252,Delhi,ABC Institute,3rd,Robotics,Whatsapp,0
LD253,Surat,PQR University,4th,AI,Google Form,1
LD254,Surat,ABC Institute,4th,Electric Vehicle,Google Form,0
LD255,Bangalore,LMN College,2nd,Electric Vehicle,Google Form,0
LD256,Ahmedabad,PQR University,4th,AI,LinkedIn,0
LD257,Delhi,LMN College,3rd,Data Science,Whatsapp,1
LD258,Surat,PQR University,4th,Data Science,Mass-Mailing,0
LD259,Surat,PQR University,4th,Electric Vehicle,LinkedIn,0
LD260,Ahmedabad,XYZ University,4th,Data Science,Google Form,0
LD261,Ahmedabad,XYZ University,4th,Electric Vehicle,Whatsapp,0
LD262,Bangalore,XYZ University,1st,Data Science,LinkedIn,1
LD263,Bangalore,LMN College,3rd,Data Science,Instagram,0
LD264,Surat,PQR University,4th,Data Science,Mass-Mailing,0
LD265,Bangalore,ABC Institute,2nd,Robotics,Whatsapp,1
LD266,Bangalore,PQR University,1st,Robotics,Whatsapp,1
LD267,Ahmedabad,PQR University,1st,Electric Vehicle,Mass-Mailing,0
LD268,Mumbai,LMN College,4th,Electric Vehicle,LinkedIn,1
LD269,Surat,ABC Institute,4th,Data Science,Mass-Mailing,0
LD270,Mumbai,ABC Institute,1st,Data Science,Mass-Mailing,0
LD271,Delhi,XYZ University,4th,Data Science,LinkedIn,1
LD272,Mumbai,LMN College,4th,Electric Vehicle,Google Form,1
LD273,Surat,PQR University,2nd,Electric Vehicle,Instagram,1
LD274,Ahmedabad,XYZ University,4th,Robotics,Whatsapp,1
LD275,Delhi,XYZ University,3rd,Electric Vehicle,Instagram,0
LD276,Surat,ABC Institute,4th,AI,LinkedIn,0
LD277,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Whatsapp,1
LD278,Surat,PQR University,3rd,Electric Vehicle,Whatsapp,0
LD279,Delhi,PQR University,4th,Data Science,Instagram,1
LD280,Mumbai,PQR University,1st,Data Science,Google Form,1
LD281,Ahmedabad,XYZ University,3rd,AI,Google Form,1
LD282,Surat,PQR University,3rd,Robotics,Google Form,0
LD283,Delhi,XYZ University,2nd,Robotics,Whatsapp,0
LD284,Delhi,ABC Institute,2nd,Data Science,College Collaboration,0
LD285,Bangalore,XYZ University,1st,Robotics,Google Form,0
LD286,Delhi,XYZ University,3rd,Data Science,Mass-Mailing,0
LD287,Ahmedabad,LMN College,1st,Data Science,College Collaboration,0
LD288,Surat,PQR University,2nd,Robotics,Whatsapp,0
LD289,Bangalore,ABC Institute,1st,Robotics,Instagram,0
LD290,Bangalore,LMN College,1st,Data Science,Mass-Mailing,0
LD291,Mumbai,PQR University,2nd,Robotics,Instagram,0
LD292,Ahmedabad,XYZ University,4th,AI,College Collaboration,0
LD293,Ahmedabad,XYZ University,3rd,AI,College Collaboration,1
LD294,Mumbai,ABC Institute,3rd,Data Science,Google Form,0
LD295,Delhi,LMN College,3rd,Electric Vehicle,Whatsapp,0
LD296,Delhi,PQR University,2nd,Robotics,College Collaboration,0
LD297,Mumbai,PQR University,3rd,Robotics,College Collaboration,1
LD298,Bangalore,ABC Institute,4th,Robotics,Whatsapp,0
LD299,Bangalore,XYZ University,2nd,AI,Google Form,0
LD300,Ahmedabad,ABC Institute,4th,Electric Vehicle,Whatsapp,0
LD301,Mumbai,XYZ University,3rd,AI,Google Form,0
LD302,Bangalore,LMN College,4th,Robotics,Google Form,0
LD303,Ahmedabad,XYZ University,3rd,Robotics,Instagram,0
LD304,Mumbai,LMN College,4th,Data Science,College Collaboration,0
LD305,Bangalore,LMN College,2nd,Electric Vehicle,Google Form,1
LD306,Surat,LMN College,2nd,Data Science,Google Form,1
LD307,Surat,LMN College,4th,Electric Vehicle,Whatsapp,0
LD308,Delhi,LMN College,3rd,Electric Vehicle,Mass-Mailing,0
LD309,Delhi,XYZ University,3rd,AI,Mass-Mailing,1
LD310,Bangalore,ABC Institute,2nd,Robotics,Mass-Mailing,0
LD311,Bangalore,LMN College,1st,Data Science,Instagram,0
LD312,Mumbai,XYZ University,1st,Electric Vehicle,Google Form,0
LD313,Ahmedabad,ABC Institute,2nd,AI,Mass-Mailing,0
LD314,Delhi,LMN College,3rd,Electric Vehicle,Mass-Mailing,1
LD315,Surat,LMN College,4th,Robotics,Instagram,1
LD316,Surat,XYZ University,4th,Data Science,College Collaboration,0
LD317,Delhi,ABC Institute,3rd,Electric Vehicle,Instagram,0
LD318,Mumbai,XYZ University,1st,Electric Vehicle,LinkedIn,0
LD319,Delhi,PQR University,1st,Electric Vehicle,Instagram,0
LD320,Delhi,PQR University,2nd,AI,Mass-Mailing,0
LD321,Mumbai,ABC Institute,3rd,AI,College Collaboration,0
LD322,Surat,PQR University,2nd,Electric Vehicle,Google Form,1
LD323,Mumbai,XYZ University,4th,Robotics,Google Form,0
LD324,Surat,XYZ University,3rd,Robotics,Mass-Mailing,0
LD325,Ahmedabad,PQR University,3rd,Data Science,Whatsapp,1
LD326,Bangalore,XYZ University,4th,AI,Whatsapp,1
LD327,Mumbai,ABC Institute,1st,Robotics,Instagram,0
LD328,Delhi,XYZ University,4th,AI,College Collaboration,0
LD329,Bangalore,ABC Institute,4th,AI,LinkedIn,0
LD330,Bangalore,XYZ University,1st,Electric Vehicle,Mass-Mailing,0
LD331,Surat,XYZ University,1st,Data Science,Google Form,0
LD332,Surat,PQR University,4th,Robotics,Mass-Mailing,1
LD333,Surat,LMN College,4th,Data Science,Instagram,0
LD334,Bangalore,XYZ University,3rd,Robotics,Instagram,0
LD335,Ahmedabad,XYZ University,2nd,AI,College Collaboration,0
LD336,Mumbai,ABC Institute,3rd,Electric Vehicle,LinkedIn,0
LD337,Mumbai,PQR University,4th,Data Science,Whatsapp,1
LD338,Delhi,LMN College,1st,Data Science,Mass-Mailing,1
LD339,Surat,ABC Institute,3rd,AI,Instagram,0
LD340,Surat,LMN College,4th,Robotics,Whatsapp,0
LD341,Surat,ABC Institute,3rd,AI,Instagram,0
LD342,Bangalore,PQR University,2nd,Robotics,Whatsapp,0
LD343,Delhi,XYZ University,4th,Robotics,LinkedIn,0
LD344,Bangalore,ABC Institute,4th,Data Science,LinkedIn,0
LD345,Delhi,LMN College,4th,Electric Vehicle,College Collaboration,0
LD346,Ahmedabad,XYZ University,4th,Electric Vehicle,Google Form,0
LD347,Surat,ABC Institute,1st,AI,LinkedIn,0
LD348,Delhi,PQR University,2nd,Electric Vehicle,LinkedIn,0
LD349,Bangalore,PQR University,3rd,Data Science,LinkedIn,0
LD350,Mumbai,PQR University,4th,AI,College Collaboration,0
LD351,Ahmedabad,XYZ University,1st,AI,Google Form,0
LD352,Bangalore,XYZ University,1st,Electric Vehicle,Whatsapp,1
LD353,Delhi,PQR University,2nd,Robotics,LinkedIn,0
LD354,Mumbai,PQR University,4th,Data Science,Google Form,0
LD355,Bangalore,XYZ University,3rd,Electric Vehicle,LinkedIn,0
LD356,Bangalore,XYZ University,1st,AI,College Collaboration,0
LD357,Mumbai,XYZ University,3rd,Electric Vehicle,Mass-Mailing,0
LD358,Bangalore,ABC Institute,4th,Electric Vehicle,College Collaboration,0
LD359,Mumbai,ABC Institute,3rd,Robotics,Whatsapp,1
LD360,Ahmedabad,LMN College,2nd,AI,LinkedIn,0
LD361,Surat,PQR University,3rd,Electric Vehicle,Instagram,0
LD362,Ahmedabad,LMN College,2nd,Data Science,Whatsapp,0
LD363,Ahmedabad,ABC Institute,3rd,Robotics,Mass-Mailing,0
LD364,Mumbai,ABC Institute,2nd,AI,Whatsapp,0
LD365,Surat,ABC Institute,2nd,Electric Vehicle,Google Form,1
LD366,Mumbai,ABC Institute,3rd,Robotics,Google Form,0
LD367,Ahmedabad,LMN College,4th,Electric Vehicle,Google Form,1
LD368,Mumbai,XYZ University,4th,Robotics,Whatsapp,1
LD369,Mumbai,PQR University,2nd,Data Science,Mass-Mailing,0
LD370,Delhi,ABC Institute,4th,AI,Whatsapp,0
LD371,Bangalore,PQR University,1st,Robotics,College Collaboration,0
LD372,Surat,PQR University,3rd,Robotics,College Collaboration,0
LD373,Ahmedabad,XYZ University,4th,Data Science,LinkedIn,0
LD374,Delhi,XYZ University,2nd,Electric Vehicle,Mass-Mailing,0
LD375,Mumbai,LMN College,2nd,Robotics,Whatsapp,0
LD376,Surat,ABC Institute,1st,Electric Vehicle,Google Form,0
LD377,Bangalore,XYZ University,4th,Data Science,Mass-Mailing,1
LD378,Surat,LMN College,1st,AI,Google Form,0
LD379,Mumbai,LMN College,2nd,AI,LinkedIn,1
LD380,Mumbai,LMN College,1st,AI,Google Form,0
LD381,Mumbai,XYZ University,2nd,Data Science,Google Form,0
LD382,Mumbai,XYZ University,4th,AI,LinkedIn,0
LD383,Bangalore,ABC Institute,2nd,Robotics,Instagram,0
LD384,Delhi,XYZ University,2nd,Robotics,Whatsapp,1
LD385,Bangalore,PQR University,1st,AI,College Collaboration,1
LD386,Mumbai,PQR University,1st,Electric Vehicle,Google Form,1
LD387,Mumbai,PQR University,1st,AI,College Collaboration,0
LD388,Delhi,XYZ University,2nd,Electric Vehicle,College Collaboration,0
LD389,Ahmedabad,PQR University,2nd,Robotics,College Collaboration,1
LD390,Surat,LMN College,2nd,Robotics,Whatsapp,1
LD391,Ahmedabad,ABC Institute,1st,Electric Vehicle,LinkedIn,1
LD392,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Mass-Mailing,0
LD393,Ahmedabad,XYZ University,3rd,Electric Vehicle,College Collaboration,0
LD394,Mumbai,PQR University,3rd,Robotics,College Collaboration,1
LD395,Bangalore,ABC Institute,2nd,AI,Mass-Mailing,0
LD396,Mumbai,LMN College,1st,Robotics,Instagram,1
LD397,Ahmedabad,XYZ University,4th,Data Science,College Collaboration,1
LD398,Bangalore,PQR University,2nd,Electric Vehicle,Mass-Mailing,0
LD399,Delhi,PQR University,1st,Electric Vehicle,Instagram,1
LD400,Ahmedabad,PQR University,1st,Data Science,Whatsapp,1
LD401,Ahmedabad,ABC Institute,2nd,Data Science,Instagram,0
LD402,Delhi,ABC Institute,2nd,Robotics,Instagram,1
LD403,Mumbai,PQR University,3rd,Data Science,Mass-Mailing,0
LD404,Bangalore,ABC Institute,3rd,Robotics,Mass-Mailing,1
LD405,Ahmedabad,LMN College,4th,Electric Vehicle,Google Form,0
LD406,Mumbai,ABC Institute,1st,Robotics,Mass-Mailing,1
LD407,Delhi,ABC Institute,3rd,Data Science,Instagram,0
LD408,Ahmedabad,XYZ University,3rd,Robotics,Google Form,0
LD409,Surat,XYZ University,3rd,Electric Vehicle,Whatsapp,1
LD410,Delhi,PQR University,1st,Robotics,College Collaboration,0
LD411,Delhi,ABC Institute,1st,AI,College Collaboration,0
LD412,Bangalore,PQR University,1st,Data Science,Mass-Mailing,1
LD413,Ahmedabad,XYZ University,1st,AI,Instagram,1
LD414,Mumbai,LMN College,3rd,Robotics,Instagram,0
LD415,Ahmedabad,LMN College,2nd,Electric Vehicle,LinkedIn,0
LD416,Ahmedabad,ABC Institute,4th,Robotics,LinkedIn,0
LD417,Bangalore,PQR University,3rd,AI,LinkedIn,0
LD418,Mumbai,LMN College,3rd,Robotics,Mass-Mailing,0
